id,question,reponse,answer
1.0,Qu'est-ce que la 5G de Djezzy ?,"La 5G de Djezzy est la nouvelle génération de réseau mobile offrant des vitesses de connexion beaucoup plus rapides, une meilleure stabilité et une latence réduite, pour une expérience internet améliorée.",
2.0,Comment savoir si je suis dans une zone 5G couverte ?,"Vous pouvez consulter la carte interactive en temps réel sur le site dédié djezzy5g.dz. Si vous quittez une zone 5G, votre téléphone basculera automatiquement vers le réseau 4G ou réseau disponible.",
3.0,Puis-je utiliser la 5G avec mon téléphone ?,"Oui, à condition de disposer d'un smartphone compatible 5G et d'avoir activé la 5G dans les paramètres de votre téléphone.",
4.0,Dois-je changer de carte SIM pour utiliser la 5G ?,"Si vous disposez déjà d'une USIM, il vous suffit de signer un contrat 5G dans l'une de nos boutiques.
Toutefois, dans certains cas, une mise à jour de la carte SIM peut être nécessaire afin de bénéficier pleinement de la 5G.",
5.0,Quels sont les avantages de la 5G par rapport à la 4G ?,"La 5G permet: Une navigation ultra-rapide, un streaming vidéo en haute qualité sans coupure, des jeux en ligne plus fluides, des téléchargements quasi instantanés, et une meilleure performance même en zones à forte affluence.",
6.0,Combien coûte l'activation de la 5G ?,L'activation de la 5G est gratuite. Aucun frais n'est appliqué pour activer ce service sur votre ligne.,
7.0,Puis-je continuer à utiliser la 4G si la 5G n'est pas disponible dans ma zone ?,"Oui, votre téléphone basculera automatiquement vers la 4G ou au réseau disponible.",
8.0,Puis-je revenir à la 4G après avoir activé la 5G ?,"Oui, vous pouvez désactiver la 5G dans les réglages réseau de votre téléphone à tout moment.",
9.0,Qui peut bénéficier du bonus offert par Djezzy dans le cadre du lancement de la 5G ?,"Les bonus sont accordés en fonction de la compatibilité de votre smartphone (5G ou 4G). Pour connaître votre éligibilité et profiter du bonus, nous vous invitons à vous rendre dans une boutique Djezzy située dans une wilaya couverte par la 5G.",
10.0,Le bonus 5G est-il disponible partout en Algérie?,Le bonus 5G est exclusivement réservé aux clients se trouvant dans les wilayas couvertes par le réseau 5G.,
11.0,Numéros utiles,"Police: 15 48 , Pompiers/ Protection civile: 14, Gendarmerie Nationale: 10 55, Enfance maltraitée: 30 33, Assistance médicale téléphonique: 115, Assistance et la détresse jeunesse: 11 6",
12.0,Ma carte SIM est bloquée suite à des erreurs de saisie du code PIN. Comment puis-je la débloquer ?,"Après trois tentatives incorrectes de saisie du code PIN, votre ligne est automatiquement bloquée. Pour la débloquer, vous devez utiliser votre code PUK. !Ce code est indiqué au dos du support de votre carte SIM. Vous pouvez également l'obtenir en composant la syntaxe *777# ou en appelant le serveur vocal 777.",
13.0,Comment puis-je obtenir mon code PIN2 et à quoi sert-il ?,"Le code PIN2 vous permet de : Récupérer votre code PUK, Suspendre votre ligne Djezzy en cas de vol ou de perte via la Djezzy APP ou la syntaxe *777#, Réactiver votre ligne Djezzy si vous la retrouvez après une perte, via la Djezzy APP ou la syntaxe *777#. Pour obtenir votre code PIN2, il vous suffit de composer la syntaxe *777#.",
14.0,"Pendant combien de temps puis-je conserver mon numéro Djezzy, sans utiliser vos services( Appels, SMS, Internet, services) ?","Si aucun de nos services Djezzy n'est facturé sur votre ligne, votre numéro sera conservé pendant 120 jours. Dépassant ce délai votre ligne sera suspendue.",
15.0,Comment puis-je connaitre le montant de ma facture Djezzy ?,Disponible sur la Djezzy APP ou en composant la syntaxe *787#.,
16.0,Comment puis-je effectuer un appel masqué ?,Composez simplement #31# suivi du numéro de votre correspondant. Le service est gratuit.,
17.0,Puis-je effectuer une migration de mon profil Djezzy ?,"Oui, que vous soyez client prépayé ou postpayé, vous pouvez accéder à la rubrique « Migration » sur la Djezzy APP afin de consulter les profils de migration disponibles.",
18.0,Comment activer et désactiver mes renvois d'appels ?,"- Injoignable : Composez **62*numéro#OK Pour désactiver ##62#OK
        - Pas de réponse: Composez **61*numéro#OK Pour désactiver ##61#OK
        - Occupé : Composez **67*numéro#OK Pour désactiver ##67#OK
        Inconditionnel : Composez **21*numéro#OK Pour désactiver ##21#OK
        Pour annuler tous les renvois d'appels, composez ##002#",
19.0,Comment puis-je utiliser mon numéro Djezzy à l'étranger (Roaming) ?,"Client prépayé ou Control : Le service roaming est activé par défaut, il suffit de recharger votre compte.
        Client Postpayé : Vous devez déposer une caution de 30 000DA au niveau de la boutique Djezzy.
        La caution est remboursable à la désactivation du service ou suite à une résiliation de la ligne.",
20.0,Où puis-je trouver les adresses des boutiques Djezzy ?,Vous pouvez consulter la liste complète des adresses de nos boutiques directement via la rubrique dédiée de la Djezzy APP ou en visitant notre site web djezzy.dz,
21.0,Comment récupérer ma SIM perdue ou endommagée ?,"En cas de vol ou de perte : Rendez-vous dans une boutique Djezzy muni d'une déclaration de vol ou de perte, votre contrat d'achat de la ligne et votre pièce d'identité.
        En cas de carte SIM bloquée : Présentez-vous dans une boutique Djezzy avec votre carte SIM bloquée et votre pièce d'identité.
        Frais de récupération de la carte SIM : Les frais s'élèvent à 100 DA, sauf pour la carte Millenium, pour laquelle les frais sont de 150 DA.",
22.0,Qu'est-ce que ARKAMI DZ ?,"ARKAMI DZ est un service qui vous permet de consulter, de manière simple et sécurisée, le nombre de lignes enregistrées à votre nom. Pour en bénéficier, il vous suffit de : Composer la syntaxe *254# Saisir votre date de naissance selon le format indiqué
        Vous recevrez ensuite un SMS indiquant le nombre de lignes enregistrées à votre nom. Ce service est facturé 5 DA.",
23.0,Est-ce que la Djezzy APP fonctionne à l'étranger?,"Oui, à condition d'être déjà connecté à la Djezzy APP depuis l'Algérie. En cas de déconnexion à l'étranger, vous ne pourrez pas recevoir le code de confirmation (OTP).
        Une fois connecté, la Djezzy APP vous permet de consulter vos consommations, souscrire aux offres et d'effectuer vos e-paiements à l'aide de vos cartes VISA et Mastercard, même depuis l'étranger.",
24.0,C'est quoi le E-paiement?,Le E-paiement de Djezzy ou paiement électronique est un moyen digital permettant d'effectuer des transactions en ligne; soit rechargement « E-Flexy » ou Paiement de facture « E-Facture » à travers nos canaux: Djezzy APP et site web djezzy.dz,
25.0,Que puis-je faire en E-paiement ?,"Recharger du crédit, Payer vos factures, Activer les offres mixtes et internet si vous n'avez pas de crédit suffisant.",
26.0,Est-ce que je peux recharger ou payer la facture pour une autre personne via E-paiement?,"Oui, vous pouvez à tout moment recharger ou payer une facture d'une ligne Djezzy via notre Djezzy APP ou via notre site web djezzy.dz",
27.0,Où se trouve le code CVV2 sur la carte CIB ?,Le code CW2 est un code à 3 chiffres qui se trouve au dos de votre carte bancaire. Ce code est confidentiel et est réservé à votre usage personnel.,
28.0,Qu'est-ce que la recharge et le paiement de facture via carte VISA & Mastercard?,"Ce service permet à tous les détenteurs de cartes VISA ou Mastercard, qu'ils soient en Algérie ou à l'étranger, de recharger leur crédit ou de régler les factures de leur ligne Djezzy particulier, aussi bien depuis l'Algérie que depuis l'international.
        Le service est accessible via : La Djezzy APP, Le site web : epay.djezzy.dz/visa",
29.0,What is the minimum and maximum amount for E-payment?,"Que vous utilisiez une carte CIB, Edahabia ou VISA, le seuil toléré est: Minimum 100 DA et Maximum 9999DA.",
30.0,Puis-je effectuer un E-paiement avec une carte Edahabia ou CIB depuis l'étranger ?,"L'utilisation des cartes Edahabia et CIB est possible uniquement depuis l'Algérie. Pour vos paiements en ligne depuis l'étranger, vous pouvez utiliser les cartes VISA ou Mastercard.",
31.0,Comment puis-je changer mon numéro Djezzy(Postpayé) ?,Le changement de numéro s'effectue exclusivement dans une boutique Djezzy. Différentes catégories et tarifs vous seront proposés afin de choisir le numéro qui vous convient.,
32.0,Comment puis-je obtenir les détails de ma facture ?,"La facture détaillée est disponible uniquement en boutique Djezzy. Il vous suffit de vous présenter avec une pièce d'identité.
        Le détail couvre : Jusqu'à 90 jours pour les clients prépayés, Les 3 derniers mois pour les clients postpayés et control
        Frais : 300 DA pour tous Payables sur place pour les clients prépayés, Reportés sur la prochaine facture pour les clients postpayés et control
        La facture détaillée est prête sous 24 heures ouvrables et peut être récupérée en boutique ou envoyée par e-mail.",
33.0,Comment puis-je activer ou désactiver le service Ranati ?,"Pour activer une tonalité : Via la Djezzy APP, En composant *722#, En appelant le 722, En envoyant le code de la tonalité par SMS au 722
        Pour désactiver le service : Via la Djezzy APP, En envoyant « quit » par SMS au 722, En composant *154#.",
34.0,Comment se désinscrire des services Gaming ? ^,Envoyez le mot « quit » par SMS au 734 ou composez *154#.,
35.0,"Comment se désabonner du service Game Portal
?",Envoyez le mot « DES » par SMS au 755 ou composez *154#.,
36.0,J'ai effectué un rechargement au lieu d'un paiement de facture. Que faire ?,Composez *787*7*7*le montant#OK. Le montant doit être égal ou supérieur à 900 DA et sera transféré vers le paiement de votre facture.,
37.0,Comment utiliser SMS 3LIK ?,"Mode manuel : Composez 702 suivi du numéro du destinataire puis envoyez votre SMS.
        Mode automatique : En cas de crédit insuffisant, le service SMS 3LIK sera proposé. Appuyez sur 1 pour demander au destinataire de payer 5 DA.
        Le destinataire a 12 heures pour accepter (1) ou refuser(2).",
38.0,Qu'est-ce que TOD et comment l'activer ?,"TOD est une plateforme du groupe belN Media Group qui diffuse en direct les plus grands événements sportifs, tels que la Premier League, la Liga, la Ligue 1, et offre également un accès à une large bibliothèque de films, séries et contenus de divertissement.
        Pour découvrir et souscrire aux offres TOD, plusieurs canaux sont disponibles : Via la Djezzy APP sur mobile ou Twinbox, Sur le web, via le lien : my.djezzy.dz, En utilisant la syntaxe *707#.",
39.0,Qu'est-ce que Shahid et comment l'activer ?,"Shahid est une plateforme de divertissement, offrant le plus grand catalogue de contenus arabes, ainsi que des films et séries occidentaux, turcs, coréens et Bollywood. Pour découvrir et souscrire aux offres Shahid, plusieurs canaux sont disponibles : Via la Djezzy APP sur mobile ou Twinbox,Sur le web, via le lien : my.djezzy.dz, En utilisant la syntaxe *707#.",
40.0,Qu'est-ce que Dorouscom et comment l'activer?,"Dorouscom est une plateforme d'e-learning et d'accompagnement scolaire en ligne qui fournit aux élèves du Primaire, CEM & Lycée des cours interactifs et des vidéos pédagogiques (enregistrées ou Live) compatibles avec le programme national.
        Pour découvrir et souscrire aux offres Dorouscom, plusieurs canaux sont disponibles : Via la Djezzy APP sur mobile ou Twinbox, Sur le web, via le lien : my.djezzy.dz, En utilisant la syntaxe *707#.",
41.0,Qu'est ce que FlexyNET et comment puis-je l'utiliser ?,"Flexynet est une fonctionnalité destinée à tous nos abonnés Djezzy Particuliers pour transférer à tout moment des volumes internet vers un autre numéro Djezzy et cela de manière illimitée.
        Pour ce faire, plusieurs canaux s'offrent à vous : Djezzy APP, Web via lien my.djezzy.dz, Syntaxe *707#, Appel vers le 707
        La validité du volume internet transféré varie entre 24 heures et 48 heures.",
42.0,Comment activer et désactiver Internet à la demande ?,"Activation : Via la rubrique internet de la Djezzy APP ou en composant *707# .
        Désactivation : Composez *707# et suivez les étapes.",
43.0,Qu'est-ce que la Twinbox ?,"La Twinbox est une solution All-In-One unique qui combine Internet et contenu au sein d'un seul équipement. Elle intègre un routeur 40, un répéteur Wi-Fi 5 ainsi qu'une box Android TV, offrant une expérience connectée complète.
Fonctionnant sous Android TV version 12, la Twinbox permet d'installer aussi bien des applications officielles via le Google Play Store Android TV que des applications tierces au format APK.",
44.0,Où se procurer la Twinbox ?,Vous pouvez vous procurer la Twinbox dans les boutiques Djezzy & Algerie Telecom au niveau du tout le territoire national.,
45.0,Comment puis-je acheter un forfait Djezzy internet sur la Twinbox ?,"Il vous suffit de lancer la Djezzy APP sur votre Twinbox, de connecter votre numéro et choisir le forfait qui vous convient. Vous avez la possibilité de recharger du crédit via E-paiement en utilisant votre carte Edahabia ou CIB.",
