content,category,is_active,needs_reindex
[roaming_omra_hadj.csv] Country: Arabie Saoudite | Package Type: Internet & Voix | Data (Go): 1 | Minutes Received: 10.0 | Minutes to Djezzy: 10 | SMS Sent: 10.0 | Validity (Days): 7 | Price (DA): 1000 | USSD Code: *720*11# | App Android Link: https://play.google.com/store/apps/details?id=com.djezzy.internet | App iOS Link: https://itunes.apple.com/sa/app/djezzy-internet/id1262903573 | Call Center: 777 | Store Link: https://www.djezzy.dz/nos-boutiques/,roaming_omra_hadj,true,true
"Découvrez notre offre de roaming pour l'Arabie Saoudite, idéale pour les pèlerins, avec 1 Go de données, 10 minutes reçues et 10 minutes vers Djezzy, ainsi que 10 SMS envoyés, valable 7 jours, pour un prix premium de 1000 DA. Vous pouvez l'activer avec le code USSD *720*11# ou en téléchargeant notre application sur Google Play ou l'App Store, et pour plus d'informations, vous pouvez contacter notre centre d'appel au 777 ou visiter notre site web pour trouver une boutique près de chez vous.",roaming_omra_hadj,true,true
"Pour votre séjour en Arabie Saoudite, nous vous proposons une offre de roaming haut de gamme comprenant 1 Go de data, 10 minutes reçues, 10 minutes vers Djezzy et 10 SMS envoyés, avec une validité de 7 jours, le tout pour 1000 DA. Cette offre peut être souscrite via le code USSD *720*11# ou en téléchargeant notre application Android ou iOS, et si vous avez besoin d'aide, n'hésitez pas à appeler le 777 ou à consulter notre site web pour localiser une de nos boutiques.",roaming_omra_hadj,true,true
[roaming_omra_hadj.csv] Country: Arabie Saoudite | Package Type: Internet & Voix | Data (Go): 5 | Minutes Received: 30.0 | Minutes to Djezzy: ILLIMITÉS | SMS Sent: 30.0 | Validity (Days): 30 | Price (DA): 2000 | USSD Code: *720*11# | App Android Link: https://play.google.com/store/apps/details?id=com.djezzy.internet | App iOS Link: https://itunes.apple.com/sa/app/djezzy-internet/id1262903573 | Call Center: 777 | Store Link: https://www.djezzy.dz/nos-boutiques/ [ILLIMITE],roaming_omra_hadj,true,true
"Découvrez notre offre de roaming Omra Hadj en Arabie Saoudite, idéale pour un séjour de 30 jours avec 5 Go de données, 30 minutes reçues, des appels illimités vers Djezzy, 30 SMS envoyés, le tout pour un tarif premium de 2000 DA. Vous pouvez souscrire via le code USSD *720*11# ou télécharger notre application sur Google Play ou l'App Store.",roaming_omra_hadj,true,true
"Pour un voyage en Arabie Saoudite, optez pour notre forfait Internet et Voix haut de gamme, comprenant 5 Go de données, 30 minutes de réception d'appels, des appels sans restriction vers Djezzy, ainsi que 30 SMS envoyés, valable 30 jours, pour un prix de 2000 DA. Vous pouvez facilement souscrire en composant *720*11# ou en visitant notre site web pour plus d'informations sur nos boutiques et nos applications mobiles.",roaming_omra_hadj,true,true
[roaming_omra_hadj.csv] Country: Arabie Saoudite | Package Type: Internet & Voix | Data (Go): 12 | Minutes Received: 60.0 | Minutes to Djezzy: ILLIMITÉS | SMS Sent: 60.0 | Validity (Days): 30 | Price (DA): 5000 | USSD Code: *720*11# | App Android Link: https://play.google.com/store/apps/details?id=com.djezzy.internet | App iOS Link: https://itunes.apple.com/sa/app/djezzy-internet/id1262903573 | Call Center: 777 | Store Link: https://www.djezzy.dz/nos-boutiques/ [ILLIMITE],roaming_omra_hadj,true,true
"Découvrez notre forfait de roaming Omra Hadj en Arabie Saoudite, qui vous offre 12 Go de data, 60 minutes reçues, des appels illimités vers Djezzy et 60 SMS envoyés, valable 30 jours, pour un tarif haut de gamme de 5000 DA. Vous pouvez souscrire via le code USSD *720*11# ou en téléchargeant notre application sur Google Play ou l'App Store.",roaming_omra_hadj,true,true
"Pour un séjour en Arabie Saoudite, nous vous proposons un forfait internet et voix qui inclut 12 Go de data, une quantité généreuse pour rester connecté, ainsi que 60 minutes de réception d'appels et des appels sans restriction vers Djezzy, ainsi que 60 SMS envoyés, le tout valable 30 jours, pour un forfait premium à 5000 DA, que vous pouvez activer avec le code *720*11# ou en visitant notre site web ou en téléchargeant notre application mobile.",roaming_omra_hadj,true,true
[roaming_omra_hadj.csv] Country: Arabie Saoudite | Package Type: Internet | Data (Go): 2 | Validity (Days): 15 | Price (DA): 1200 | USSD Code: *720*11# | App Android Link: https://play.google.com/store/apps/details?id=com.djezzy.internet | App iOS Link: https://itunes.apple.com/sa/app/djezzy-internet/id1262903573 | Call Center: 777 | Store Link: https://www.djezzy.dz/nos-boutiques/,roaming_omra_hadj,true,true
"Découvrez notre offre de roaming pour l'Arabie Saoudite, avec 2 Go de data valables pendant 15 jours, idéale pour un séjour court et intensif, à un prix premium de 1200 DA, accessible via le code USSD *720*11# ou sur notre application Android https://play.google.com/store/apps/details?id=com.djezzy.internet ou iOS https://itunes.apple.com/sa/app/djezzy-internet/id1262903573, et n'hésitez pas à contacter notre centre d'appel au 777 ou à visiter notre site https://www.djezzy.dz/nos-boutiques/ pour plus d'informations.",roaming_omra_hadj,true,true
"Pour un voyage en Arabie Saoudite, profitez de notre forfait Internet avec 2 Go de data pendant 15 jours, à un tarif haut de gamme de 1200 DA, permettant une navigation confortable, et bénéficiez d'un accès facile via le code *720*11#, notre application Android https://play.google.com/store/apps/details?id=com.djezzy.internet ou iOS https://itunes.apple.com/sa/app/djezzy-internet/id1262903573, ainsi que de l'assistance de notre équipe au 777 ou sur https://www.djezzy.dz/nos-boutiques/.",roaming_omra_hadj,true,true
