categorie,service,description,fonctionnalites,conditions,activation,tarification,cible,remarques
Services Complémentaires,Hameçonnage SMS,Attaque frauduleuse visant à voler des données personnelles via SMS (smishing).,"Exemples: SMS faux (banque, opérateur), liens frauduleux, vol de données.","Ne pas cliquer sur liens, ne pas partager infos, ignorer messages suspects, signaler SMS frauduleux.",,Gratuit,Tous utilisateurs,QR code sécurité + sensibilisation
Services Complémentaires,Apprendre l’anglais,Service e-learning avec cours interactifs d’anglais.,"Accès via app, SMS, portail web.","Envoyer SMS avec mots clés: ON, OK, PLAY, STOP.",Via Djezzy App / SMS / web,Jour: 25 DA | Semaine: 50 DA | Mois: 100 DA,Clients Djezzy,Codes SMS disponibles en arabe et anglais
Services Complémentaires,Vol de mobile,Blocage du téléphone volé sur tous réseaux.,Empêche utilisation SIM et appareil.,Fournir IMEI + déclaration perte.,Appeler service client ou police.,Gratuit,Clients Djezzy,Blocage irréversible
Services Complémentaires,Changement carte SIM,Remplacement SIM (perte/panne).,Conserver numéro.,Pièce identité obligatoire.,Agence Djezzy,100 DA SIM + 150 DA activation,Clients Djezzy,Activation rapide
Services Complémentaires,Numéros utiles,Accès rapide aux services.,"777: client, 700: général, 401: distributeur, 720: offres, 710: crédit, 788: entreprise, 718: pro.",Ligne active,Composer numéro,Selon appel,Clients,
Services Complémentaires,Service client,Assistance clients particuliers et entreprises.,"Support 24/7, réclamations, infos.",Ligne active,Appeler 777,Selon appel,Clients,
Services Complémentaires,Menu USSD *777#,Gestion rapide ligne.,"Consulter solde et crédit, config SIM, services.",Ligne active,Composer *777#,Gratuit,Clients,
Services Complémentaires,Contrôle parental,Service permettant de contrôler l’usage du téléphone des enfants.,"Limiter accès, protéger contenu, sécuriser navigation.",Ligne active + activation service.,Composer *144#,Gratuit,Parents,Protection enfants
Services Complémentaires,Contrôle parental - étapes souscription,Procédure d’activation.,1: composer *144# 2: choisir contrôle parental 3: configurer mot de passe 4: activer service.,Ligne active,USSD *144#,Gratuit,Parents,
Services Complémentaires,Contrôle parental - désactivation,Procédure désactivation.,1: composer *144# 2: choisir désactivation 3: entrer mot de passe.,Ligne active,USSD *144#,Gratuit,Parents,
Services Complémentaires,Contrôle parental - mot de passe oublié,Récupération accès.,Composer *144# → reset mot de passe → recevoir nouveau code.,Ligne active,USSD *144#,Gratuit,Parents,
