id,category,name,description,description_complete,url,lang,source,qa_pairs
svc_001,Divertissement,DJEZZY SCOOP,"Le Service Djezzy Scoop vous permet de recevoir sur votre mobile des nouvelles, informations culturelles et météo par SMS.",True,https://www.djezzy.dz/particuliers/services/djezzy-scoop/,fr,djezzy.dz,"[{""q"": ""C'est quoi le service Djezzy Scoop ?"", ""a"": ""Djezzy Scoop est un service qui vous permet de recevoir sur votre mobile des nouvelles, des informations culturelles et la météo par SMS.""}, {""q"": ""Comment rester informé avec Djezzy ?"", ""a"": ""Avec Djezzy Scoop, vous recevez directement sur votre mobile des actualités, informations culturelles et météo par SMS.""}, {""q"": ""Djezzy propose-t-il un service d'informations par SMS ?"", ""a"": ""Oui, avec Djezzy Scoop vous pouvez recevoir des nouvelles, des infos culturelles et la météo directement par SMS sur votre mobile.""}]"
svc_002,Divertissement,RANATI,"Changez de tonalité en fonction des nouveautés ou des événements, aussi souvent que vous le souhaitez.",True,https://www.djezzy.dz/particuliers/services/ranati/,fr,djezzy.dz,"[{""q"": ""C'est quoi Ranati ?"", ""a"": ""Ranati est un service qui vous permet de changer votre tonalité d'appel aussi souvent que vous le souhaitez, selon les nouveautés ou les événements.""}, {""q"": ""Comment changer ma sonnerie d'attente chez Djezzy ?"", ""a"": ""Avec Ranati, vous pouvez changer votre tonalité d'appel quand vous voulez, en fonction des événements ou des nouveautés disponibles.""}, {""q"": ""Puis-je personnaliser ma tonalité sur Djezzy ?"", ""a"": ""Oui, grâce au service Ranati vous pouvez changer votre tonalité aussi souvent que vous le désirez selon les événements ou les nouveautés.""}]"
svc_003,Divertissement,Djezzy Nokta,«Nokta» offre un contenu divertissant algérien composé des deux thèmes Blagues et Boukala.,True,https://www.djezzy.dz/particuliers/services/nokta/,fr,djezzy.dz,"[{""q"": ""C'est quoi Djezzy Nokta ?"", ""a"": ""Djezzy Nokta est un service de divertissement algérien qui propose des blagues et des Boukala.""}, {""q"": ""Quel type de contenu propose Nokta ?"", ""a"": ""Nokta offre du contenu divertissant algérien autour de deux thèmes : les Blagues et les Boukala.""}, {""q"": ""Comment accéder au contenu humoristique algérien sur Djezzy ?"", ""a"": ""Avec le service Djezzy Nokta, vous avez accès à du contenu divertissant algérien incluant des blagues et des Boukala.""}]"
svc_004,Divertissement,GAME PORTAL,"Le Game Portal est un service de contenus sous forme de portail de jeux mobiles, proposé aux abonnés Djezzy équipés de Smartphones Android.",True,https://www.djezzy.dz/particuliers/services/gameportal/,fr,djezzy.dz,"[{""q"": ""C'est quoi le Game Portal Djezzy ?"", ""a"": ""Le Game Portal est un portail de jeux mobiles proposé aux abonnés Djezzy qui possèdent un smartphone Android.""}, {""q"": ""Est-ce que Djezzy propose des jeux mobiles ?"", ""a"": ""Oui, via le service Game Portal, Djezzy propose un portail de jeux mobiles accessible aux abonnés équipés de smartphones Android.""}, {""q"": ""Le Game Portal fonctionne sur quel téléphone ?"", ""a"": ""Le Game Portal de Djezzy est disponible pour les abonnés ayant un smartphone Android.""}]"
svc_005,Divertissement,GAMELAND,Gameland est une plateforme bilingue de contenu divertissant sous forme de portail de jeux proposée aux abonnés Djezzy.,False,https://www.djezzy.dz/particuliers/services/gameland/,fr,djezzy.dz,"[{""q"": ""C'est quoi Gameland ?"", ""a"": ""Gameland est une plateforme bilingue de jeux mobiles proposée aux abonnés Djezzy sous forme de portail de divertissement.""}, {""q"": ""Quelle est la différence entre Gameland et Game Portal ?"", ""a"": ""Gameland est une plateforme bilingue de jeux, tandis que le Game Portal est dédié aux smartphones Android. Les deux sont des portails de jeux mobiles pour abonnés Djezzy.""}, {""q"": ""Djezzy a-t-il une plateforme de jeux bilingue ?"", ""a"": ""Oui, Gameland est la plateforme bilingue de jeux de divertissement proposée par Djezzy à ses abonnés.""}]"
svc_006,Divertissement,VrXperience,VrXperience est un service de contenus digital sous forme de portail qui contient une large bibliothèque de contenus.,False,https://www.djezzy.dz/particuliers/services/vrxperience/,fr,djezzy.dz,"[{""q"": ""C'est quoi VrXperience chez Djezzy ?"", ""a"": ""VrXperience est un portail de contenus digitaux proposé par Djezzy, avec une large bibliothèque de contenus disponibles.""}, {""q"": ""Djezzy propose-t-il un service de réalité virtuelle ?"", ""a"": ""Oui, VrXperience est le service de contenus digitaux de Djezzy accessible sous forme de portail avec une bibliothèque de contenus variés.""}, {""q"": ""Comment accéder à VrXperience ?"", ""a"": ""VrXperience est accessible aux abonnés Djezzy via son portail digital. Pour plus de détails, consultez le site djezzy.dz.""}]"
svc_007,Divertissement,YouScribe,YouScribe est votre bibliothèque numérique à portée de main.,False,https://www.djezzy.dz/particuliers/services/youscribe/,fr,djezzy.dz,"[{""q"": ""C'est quoi YouScribe chez Djezzy ?"", ""a"": ""YouScribe est une bibliothèque numérique accessible depuis votre mobile via Djezzy.""}, {""q"": ""Puis-je lire des livres numériques avec Djezzy ?"", ""a"": ""Oui, avec YouScribe vous avez accès à une bibliothèque numérique complète directement depuis votre mobile Djezzy.""}, {""q"": ""Djezzy propose-t-il un service de lecture en ligne ?"", ""a"": ""Oui, YouScribe est le service de bibliothèque numérique de Djezzy, accessible à portée de main depuis votre mobile.""}]"
svc_008,Divertissement,PREMIUM GAMING,"Service digital sous forme de portail qui vous donne la possibilité de recharger vos jeux préférés (PUBG, Free Fire, Minecraft...).",False,https://www.djezzy.dz/particuliers/services/premium-mobile-gaming/,fr,djezzy.dz,"[{""q"": ""C'est quoi Premium Gaming chez Djezzy ?"", ""a"": ""Premium Gaming est un portail digital qui permet de recharger vos jeux favoris comme PUBG, Free Fire ou Minecraft directement via Djezzy.""}, {""q"": ""Comment recharger PUBG ou Free Fire avec Djezzy ?"", ""a"": ""Avec le service Premium Gaming de Djezzy, vous pouvez recharger vos jeux préférés comme PUBG, Free Fire et Minecraft depuis un portail dédié.""}, {""q"": ""Djezzy permet-il de recharger des jeux mobiles ?"", ""a"": ""Oui, grâce au service Premium Gaming vous pouvez recharger vos jeux comme PUBG, Free Fire, Minecraft et d'autres via le portail Djezzy.""}]"
svc_009,Divertissement,Dorouscom,Une plateforme éducative qui propose une panoplie de cours en trilingue avec plusieurs types d'accès.,False,https://www.djezzy.dz/particuliers/services/dorouscom/,fr,djezzy.dz,"[{""q"": ""C'est quoi Dorouscom ?"", ""a"": ""Dorouscom est une plateforme éducative trilingue proposée par Djezzy, offrant une variété de cours avec plusieurs types d'accès.""}, {""q"": ""Djezzy propose-t-il une plateforme de cours en ligne ?"", ""a"": ""Oui, Dorouscom est la plateforme éducative de Djezzy qui propose des cours en trois langues avec différentes options d'accès.""}, {""q"": ""Peut-on apprendre en ligne avec Djezzy ?"", ""a"": ""Oui, grâce à Dorouscom, une plateforme éducative trilingue accessible via Djezzy, vous pouvez suivre de nombreux cours en ligne.""}]"
svc_010,Divertissement,Digital Fennec,"Un portail de gaming mobile, dynamique et adapté à l'environnement algérien.",False,https://www.djezzy.dz/particuliers/services/digital-fennec/,fr,djezzy.dz,"[{""q"": ""C'est quoi Digital Fennec ?"", ""a"": ""Digital Fennec est un portail de gaming mobile dynamique, adapté à l'environnement local, proposé par Djezzy.""}, {""q"": ""Djezzy a-t-il un portail de jeux adapté à l'Algérie ?"", ""a"": ""Oui, Digital Fennec est un portail de gaming mobile de Djezzy, conçu spécialement pour correspondre à l'environnement algérien.""}, {""q"": ""Quelle est la particularité de Digital Fennec ?"", ""a"": ""Digital Fennec se distingue par son caractère dynamique et son adaptation à l'environnement local, en tant que portail de gaming mobile Djezzy.""}]"
