content,category,is_active,needs_reindex
[offres_djezzy_hayla.csv] Nom_Offre: HAYLA BEZAF 100 | Volume_Internet_GO: 500 MO | credit: 150 DA | Appels: Illimité | SMS: Illimité | Prix_DA: 100 DA | Validite_Jours: 24 Heures [PRIX_TRES_BAS] [PETIT_VOLUME] [ILLIMITE],offres_djezzy_hayla,true,true
"Découvrez l'offre HAYLA BEZAF 100 de Djezzy, idéale pour les petits budgets ! Avec 500 MO de volume Internet, des appels et SMS sans restriction, ainsi que 150 DA de crédit, le tout pour seulement 100 DA et valable 24 heures. C'est l'option parfaite pour ceux qui veulent rester connectés sans se ruiner.",offres_djezzy_hayla,true,true
"Pour un petit budget, l'offre HAYLA BEZAF 100 de Djezzy est très économique. Elle vous propose 500 MO de données, des appels et des SMS sans limite, ainsi que 150 DA de crédit, le tout pour 100 DA et valable pendant 24 heures. C'est une excellente option pour ceux qui cherchent un forfait abordable et pratique.",offres_djezzy_hayla,true,true
[offres_djezzy_hayla.csv] Nom_Offre: HAYLA BEZAF 150 | Volume_Internet_GO: 2 GO | credit: 300 DA | Appels: Illimité | SMS: Illimité | Prix_DA: 150 DA | Validite_Jours: 24 Heures [PRIX_TRES_BAS] [PETIT_VOLUME] [ILLIMITE],offres_djezzy_hayla,true,true
"Découvrez l'offre HAYLA BEZAF 150 de Djezzy, un forfait économique qui vous propose 2 GO de volume internet, des appels et SMS sans restriction, le tout pour seulement 150 DA, valable 24 heures. C'est l'occasion de profiter d'un petit volume de données à un prix très compétitif.",offres_djezzy_hayla,true,true
"Avec l'offre HAYLA BEZAF 150, vous bénéficiez d'un forfait abordable comprenant 2 GO de données, des communications téléphoniques et des envois de SMS sans limite, le tout pour 150 DA, avec une validité de 24 heures. C'est une offre idéale pour ceux qui veulent rester connectés sans dépasser leur petit budget.",offres_djezzy_hayla,true,true
[offres_djezzy_hayla.csv] Nom_Offre: HAYLA BEZAF 500 | Volume_Internet_GO: 3 GO | credit: 750 DA | Appels: Illimité | SMS: Illimité | Prix_DA: 500 DA | Validite_Jours: 15 Jours [PRIX_MOYEN] [PETIT_VOLUME] [ILLIMITE] [DUREE_MOYENNE],offres_djezzy_hayla,true,true
"Découvrez l'offre HAYLA BEZAF 500 de Djezzy, qui vous propose 3 GO de volume internet, des appels et SMS sans restriction, le tout pour 500 DA, valable 15 jours, un bon rapport qualité-prix pour rester connecté sans vous ruiner.",offres_djezzy_hayla,true,true
"Avec l'offre HAYLA BEZAF 500, bénéficiez de 3 GO de data, d'appels et de SMS sans limite, pour un petit prix de 500 DA, valable pendant 15 jours, c'est un choix idéal pour ceux qui cherchent un bon équilibre entre qualité et prix, parfait pour un usage moyen.",offres_djezzy_hayla,true,true
[offres_djezzy_hayla.csv] Nom_Offre: HAYLA BEZAF 1200 | Volume_Internet_GO: 12 GO | credit: 1500 DA | Appels: Illimité | SMS: Illimité | Prix_DA: 1200 DA | Validite_Jours: 30 Jours [PRIX_ELEVE] [VOLUME_MOYEN] [ILLIMITE] [LONGUE_DUREE],offres_djezzy_hayla,true,true
"Découvrez l'offre HAYLA BEZAF 1200 de Djezzy, qui vous propose 12 GO de volume internet, 1500 DA de crédit, des appels et SMS sans limite, le tout pour 1200 DA pendant 30 jours, une formule haut de gamme qui vous permet de profiter d'un large volume de données sans restriction.",offres_djezzy_hayla,true,true
"Avec l'offre HAYLA BEZAF 1200, Djezzy vous offre une expérience premium avec 12 GO de données, 1500 DA de crédit, des appels et des SMS sans restriction, pour un prix de 1200 DA valable pendant 30 jours, une offre qui répond à vos besoins en termes de volume de données et de communication sans limite.",offres_djezzy_hayla,true,true
[offres_djezzy_hayla.csv] Nom_Offre: HAYLA BEZAF 1500 | Volume_Internet_GO: 30 GO | credit: 2000 DA | Appels: Illimité | SMS: Illimité | Prix_DA: 1500 DA | Validite_Jours: 30 Jours [PRIX_ELEVE] [GROS_VOLUME] [ILLIMITE] [LONGUE_DUREE],offres_djezzy_hayla,true,true
"Découvrez l'offre HAYLA BEZAF 1500 de Djezzy, qui vous propose 30 GO de data internet, 2000 DA de crédit, des appels et des SMS sans restriction, le tout pour 1500 DA pendant 30 jours, un forfait haut de gamme avec un gros volume de data pour répondre à vos besoins",offres_djezzy_hayla,true,true
"Avec l'offre HAYLA BEZAF 1500 de Djezzy, bénéficiez de 30 GO de data, de 2000 DA de crédit, ainsi que d'appels et de SMS sans limite, pour un prix de 1500 DA valable 30 jours, un forfait premium qui vous offre beaucoup de data et de possibilités sans restriction pour une expérience de communication de haute qualité",offres_djezzy_hayla,true,true
[offres_djezzy_hayla.csv] Nom_Offre: HAYLA BEZAF 2000 | Volume_Internet_GO: 60 GO | credit: 7000 DA | Appels: Illimité | SMS: Illimité | Prix_DA: 2000 DA | Validite_Jours: 30 Jours [PRIX_ELEVE] [TRES_GROS_VOLUME] [ILLIMITE] [LONGUE_DUREE],offres_djezzy_hayla,true,true
"Découvrez l'offre HAYLA BEZAF 2000 de Djezzy, qui vous propose 60 GO de données Internet, 7000 DA de crédit, des appels et des SMS sans restriction, le tout pour 2000 DA pendant 30 jours, un forfait haut de gamme avec un gros volume de données",offres_djezzy_hayla,true,true
"Avec l'offre HAYLA BEZAF 2000, vous bénéficiez d'un forfait premium comprenant 60 GO de données Internet, un crédit de 7000 DA, des appels et des SMS sans limite, valable 30 jours, pour un prix de 2000 DA, idéal pour ceux qui recherchent un service de haute qualité avec beaucoup de data",offres_djezzy_hayla,true,true
