categorie,service,description,fonctionnalites_avantages,conditions,activation,tarification,cible,remarques
Voix,VoLTE,La VoLTE (Voice over LTE) permet de passer des appels sur le réseau 4G tout en restant connecté à Internet pendant la communication.,"Qualité sonore HD, connexion quasi instantanée, navigation 4G/5G pendant les appels, meilleure stabilité et continuité de service.",Smartphone compatible VoLTE et carte SIM compatible 4G/5G.,"Rendez-vous dans un centre de vente et services Djezzy, contacter le centre d’appels ou composer *707# pour activer. Parcours direct : *707*13#.",Activation gratuite. Les appels sont facturés au tarif habituel sans frais supplémentaire.,Tous les clients Djezzy particuliers et entreprises.,Il faut aussi activer la fonctionnalité VoLTE dans les paramètres réseau du téléphone.
Voix,VoLTE - FAQ,Questions fréquentes sur VoLTE.,"Bénéficiaires : tous les clients Djezzy particuliers et entreprises. Changement SIM : non, il suffit d’avoir une carte SIM 4G/5G. Compatibilité : seulement les smartphones compatibles VoLTE.",Smartphone compatible VoLTE + SIM 4G/5G.,*707*13# ou paramètres du téléphone.,Gratuit.,Clients Djezzy.,"Après activation, la VoLTE peut nécessiter une activation manuelle dans les paramètres du téléphone."
Voix,Double Appel,Service permettant de recevoir un second appel pendant une communication déjà en cours.,"Mettre le premier appel en attente, répondre au second, passer d’un appel à l’autre.",Téléphone compatible service double appel.,"Activation via les paramètres du téléphone ou code selon appareil. Pendant l’appel, utiliser les options répondre/permuter.",Les appels sont facturés séparément selon leur destination et leur durée.,Clients Djezzy.,Le premier correspondant entend la tonalité d’attente pendant que le second appel est pris.
Voix,Choix du Numéro,"Service permettant de choisir un numéro Djezzy plus simple, personnalisable ou facile à retenir lors de l’achat d’une nouvelle puce.","Choisir un numéro selon disponibilité : numéro simple, date anniversaire, numéro fétiche, etc.",Achat d’une nouvelle puce ou demande en boutique selon disponibilité.,Se présenter dans un espace services Djezzy pour l’achat du numéro avec les documents nécessaires.,Choix d’un numéro vacance : gratuit. Choix d’un numéro Golden : 1000 DA.,Clients particuliers Djezzy.,Sous réserve de disponibilité des numéros.
Voix,VERSO+,Service permettant d’émettre et recevoir toutes les communications en appels et SMS à partir d’un deuxième numéro VERSO+ tout en gardant la confidentialité du numéro principal.,Deuxième numéro virtuel pour appels et SMS. Émission possible vers réseaux nationaux et internationaux.,Ligne Djezzy active.,"Via la formule *770# avec activation par défaut ou à la demande. Après activation, composer le # suivi du numéro à appeler.","VERSO+ 7 jours : 150 DA, renouvellement à la demande. VERSO+ 30 jours : 250 DA, renouvellement automatique.",Clients Djezzy.,Le numéro VERSO+ ne peut être utilisé que depuis la ligne principale.
Voix,Renvoi d’appel,"Service permettant de renvoyer les appels vers un autre numéro, vers la boîte vocale ou selon l’état de la ligne.","Renvoi systématique, non-réponse, occupé, injoignable, data, fax, bilan, annulation.",Ligne Djezzy active.,Activer depuis le menu renvoi d’appel du téléphone ou via codes USSD abrégés.,Activation gratuite. L’appel renvoyé est facturé selon les tarifs en vigueur du profil.,Clients Djezzy.,Les modes de renvoi dépendent de l’état du téléphone ou de la ligne.
Voix,Renvoi d’appel - Tous,Renvoi systématique de tous les appels.,Tous les appels sont renvoyés.,Ligne active.,Code : **21*numéro# puis OK. Désactivation : ##21#.,"Gratuit, communication renvoyée facturée selon tarif.",Clients Djezzy.,Remplacer numéro par le numéro vers lequel renvoyer les appels.
Voix,Renvoi d’appel - Non-réponse,Renvoi uniquement si vous ne répondez pas.,Renvoi après délai sans réponse.,Ligne active.,Code : **61*numéro# puis OK. Désactivation : ##61#.,"Gratuit, communication renvoyée facturée selon tarif.",Clients Djezzy.,Paramétrable depuis le téléphone.
Voix,Renvoi d’appel - Occupé,Renvoi uniquement si la ligne est occupée.,Renvoi lorsque vous êtes déjà en communication.,Ligne active.,Code : **67*numéro# puis OK. Désactivation : ##67#.,"Gratuit, communication renvoyée facturée selon tarif.",Clients Djezzy.,Paramétrable depuis le téléphone.
Voix,Renvoi d’appel - Injoignable,Renvoi si le téléphone est hors couverture ou éteint.,Renvoi lorsque vous êtes injoignable.,Ligne active.,Code : **62*numéro# puis OK. Désactivation : ##62#.,"Gratuit, communication renvoyée facturée selon tarif.",Clients Djezzy.,Paramétrable depuis le téléphone.
Voix,Renvoi d’appel - Vers autre numéro,Renvoi vers un autre numéro.,Transfert des appels vers numéro choisi.,Ligne active.,Code : **21*numéro# puis OK ou menus du téléphone.,"Gratuit, communication renvoyée facturée selon tarif.",Clients Djezzy.,Le numéro doit être saisi avec le format requis.
Voix,Renvoi d’appel - Tout annuler,Annulation de tous les renvois actifs.,Désactive tous les renvois.,Ligne active.,Code : ##002# puis OK.,Gratuit.,Clients Djezzy.,Annule les renvois configurés.
Voix,CLIP+,"Service permettant de recevoir gratuitement un SMS indiquant le numéro de l’appelant, la date et l’heure d’un appel reçu lorsque le téléphone est éteint, hors couverture ou déjà en communication.","Notification SMS des appels manqués hors couverture, téléphone éteint ou occupé.",Ligne Djezzy active.,Le service est destiné à tous les abonnés Djezzy. Activation selon état du service et type de renvoi choisi.,Service gratuit.,Tous les abonnés Djezzy.,Le SMS est reçu dès que le téléphone est rallumé ou redevient joignable.
Voix,Appel Masqué,Service permettant de masquer son numéro lors d’un appel sortant.,Votre numéro n’apparaît pas chez le correspondant.,Ligne Djezzy active.,"Composer #31# suivi du numéro à appeler, ou activer l’option dans les paramètres du téléphone.",Gratuit.,Clients Djezzy.,Le service peut être activé ponctuellement pour un appel ou via les réglages du téléphone.
Voix,Appels en conférence,Service permettant d’organiser une communication avec plusieurs correspondants en même temps.,"Parler avec plusieurs personnes simultanément, organiser réunions, partager infos rapidement.",Téléphone compatible conférence et ligne active.,"Appeler un premier correspondant, mettre en attente, appeler le second, puis sélectionner conférence/fusionner selon téléphone.",Abonnement mensuel : 150 DA pour les profils concernés.,Clients Djezzy.,Chaque communication peut être facturée selon le profil et la destination.
Voix,709 Service Liste Rouge,Service permettant de ne pas faire apparaître son numéro dans l’annuaire ou les renseignements téléphoniques.,Protection de la confidentialité du numéro.,Ligne Djezzy active.,Appeler le 709 ou le numéro long indiqué par Djezzy pour l’inscription.,Frais d’accès par ligne : 500 DA/an.,Lignes Mobilis/Classic/Résidentiel selon table affichée.,Les frais d’inscription sont renouvelés automatiquement à la prochaine facture sauf annulation.
