question,reponse
Comment consulter mon solde Djezzy ?,Composez *710# pour consulter votre solde.
Comment recharger avec une carte Djezzy ?,Composez *700*les-14-chiffres# puis appuyez sur appel.
Comment connaître mon numéro Djezzy ?,Composez #99# pour afficher votre numéro.
Comment accéder au menu général ou aux offres Djezzy ?,Composez *720# ou *707#.
Comment consulter mes points de fidélité Djezzy ?,Composez *444#.
Quel est le numéro du service client Djezzy ?,Appelez le 777 puis choisissez l’option souhaitée.
Comment désactiver tous les renvois d’appel ?,Composez ##002#.
Comment activer le renvoi vers la boîte vocale ?,Composez *62*550#.
Que permet le menu général prépayé Djezzy ?,"En appelant le 700, vous pouvez choisir votre langue, consulter votre numéro ou obtenir des informations sur le rechargement."
Pourquoi les codes Djezzy ne fonctionnent pas ?,Vérifiez que le code se termine par # et appuyez sur appel. Essayez aussi de vérifier le réseau ou la carte SIM.
Que faire en cas de problème réseau avec les codes USSD ?,Essayez d’activer puis désactiver le mode avion ou de changer d’emplacement.
Une ancienne carte SIM peut-elle empêcher les codes de fonctionner ?,"Oui, une carte SIM ancienne ou mal insérée peut empêcher certains codes de fonctionner."
